City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mackay,-21.15,149.2,86.0,58,25,14.99,AU,1603856694
Hobart,-42.88,147.33,62.01,82,75,16.11,AU,1603856514
Rikitea,-23.12,-134.97,75.42,84,100,15.5,PF,1603856700
Vaini,-21.2,-175.2,78.8,74,20,9.17,TO,1603857147
Nikolskoye,59.7,30.79,52.0,87,90,11.18,RU,1603857148
Korla,41.76,86.15,51.28,40,0,7.31,CN,1603857149
Touros,-5.2,-35.46,77.0,83,20,4.7,BR,1603857150
Mataura,-46.19,168.86,55.0,77,99,13.0,NZ,1603856696
Tiksi,71.69,128.87,-2.81,90,1,13.78,RU,1603856448
Puerto Ayora,-0.74,-90.35,66.99,94,99,1.99,EC,1603857083
Ponta do Sol,32.67,-17.1,66.2,68,75,3.36,PT,1603857154
Busselton,-33.65,115.33,75.99,32,14,7.83,AU,1603856692
Yatou,37.15,122.38,61.41,34,41,10.58,CN,1603857157
Yellowknife,62.46,-114.35,14.0,72,40,6.93,CA,1603857048
Avarua,-21.21,-159.78,71.6,88,100,9.17,CK,1603856409
Ushuaia,-54.8,-68.3,44.6,48,40,12.75,AR,1603856441
Te Anau,-45.42,167.72,62.96,41,89,2.93,NZ,1603857162
Nísia Floresta,-6.09,-35.21,78.8,83,75,4.7,BR,1603857163
Dwārka,22.24,68.97,83.07,52,0,8.25,IN,1603857165
Urucará,-2.54,-57.76,77.65,89,95,1.83,BR,1603857166
Upernavik,72.79,-56.15,15.17,78,0,5.82,GL,1603856430
Punta Arenas,-53.15,-70.92,41.0,80,40,21.92,CL,1603857033
Chokurdakh,70.63,147.92,11.79,97,100,5.99,RU,1603857169
Bluff,-46.6,168.33,55.0,77,72,13.0,NZ,1603856696
Sète,43.4,3.7,57.2,71,0,3.36,FR,1603857112
Talnakh,69.49,88.4,-3.21,80,0,5.46,RU,1603857172
Saint George,37.1,-113.58,55.4,15,1,24.16,US,1603857111
Sitka,57.05,-135.33,44.6,81,90,6.93,US,1603857175
Kruisfontein,-34.0,24.73,55.99,96,45,5.99,ZA,1603857176
Conceição do Araguaia,-8.26,-49.26,77.4,79,7,3.29,BR,1603857177
Castro,-24.79,-50.01,56.66,74,0,4.45,BR,1603856690
